,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
1113,Maruti Vitara,21,Comprehensive,Petrol,5,83000,First Owner,Manual,2021,17,1462,1462.0,10326.0,7.95
1114,Maruti Wagon,20,Comprehensive,Petrol,5,32000,First Owner,Manual,2020,998,6705,6705.0,90.0,5.1
1115,Maruti Baleno,18,Comprehensive,Diesel,5,88000,Second Owner,Manual,2018,27,1248,1248.0,74.0,5.9
1116,Maruti Swift,12,Third Party insurance,Petrol,5,105885,First Owner,Manual,2012,1197,8850,8850.0,113.0,3.27
1117,Honda WR-V,17,Zero Dep,Diesel,5,93774,First Owner,Manual,2017,25,1498,1498.0,986.0,7.15
1118,Mercedes-Benz C-Class,20,Third Party insurance,Diesel,5,44000,First Owner,Automatic,2020,12,1950,1950.0,194.0,39.5
1119,Hyundai Grand,16,Third Party,Petrol,5,86981,First Owner,Manual,2016,1197,82,82.0,114.0,4.21
1120,Maruti Baleno,20,Zero Dep,Petrol,5,48728,First Owner,Manual,2019,21,1197,1197.0,831.0,6.66
1121,Hyundai Verna,13,Comprehensive,Petrol,5,87001,First Owner,Manual,2013,17,1591,1591.0,1213.0,4.65
1122,Maruti Wagon,16,Third Party,Petrol,5,50595,First Owner,Manual,2016,20,998,998.0,6704.0,4.11
1123,Honda Jazz,21,Comprehensive,Petrol,5,31000,First Owner,Automatic,2021,17,1199,1199.0,8850.0,8.5
1124,Hyundai Grand,15,Third Party,Petrol,5,103012,First Owner,Manual,2015,1197,82,82.0,114.0,4.14
1125,Maruti Swift,14,Third Party,Petrol,5,108929,First Owner,Manual,2013,22,1197,1197.0,8850.0,3.84
1126,Honda BR-V,16,Third Party insurance,Petrol,7,57000,First Owner,Automatic,2016,15,1497,1497.0,1173.0,7.95
1127,Honda Brio,18,Comprehensive,Petrol,5,56387,First Owner,Manual,2018,18,1198,1198.0,868.0,4.3
1128,Honda City,14,Comprehensive,Diesel,5,101000,First Owner,Manual,2014,26,1498,1498.0,986.0,5.75
1129,Honda Brio,18,Comprehensive,Petrol,5,42000,First Owner,Automatic,2018,16,1198,1198.0,868.0,5.5
1130,Hyundai Verna,21,Third Party insurance,Diesel,5,50000,First Owner,Manual,2021,25,1493,1493.0,11345.0,13.9
1131,Ford Ecosport,20,Comprehensive,Diesel,5,810000,First Owner,Manual,2020,21,1498,1498.0,9896.0,9.0
1132,Hyundai Grand,19,Comprehensive,Petrol,5,26000,First Owner,Automatic,2018,18,1197,1197.0,8186.0,5.95
1133,Mercedes-Benz C-Class,14,Comprehensive,Diesel,5,92001,First Owner,Automatic,2014,14,2143,2143.0,16762.0,11.75
1134,Honda Brio,16,Comprehensive,Petrol,5,29000,First Owner,Manual,2016,18,1198,1198.0,868.0,4.5
1135,Maruti Swift,17,Third Party insurance,Petrol,5,69000,First Owner,Manual,2017,20,1197,1197.0,8180.0,5.4
1136,Maruti Ignis,22,Zero Dep,Petrol,5,51918,First Owner,Manual,2022,1197,8180,8180.0,113.0,5.4
1137,Hyundai Grand,16,Third Party,Petrol,5,37552,First Owner,Manual,2016,18,1197,1197.0,82.0,5.32
1138,Tata Nexon,19,Comprehensive,Petrol,5,84000,First Owner,Manual,2019,17,1198,1198.0,1085.0,8.7
1139,Honda Amaze,16,Third Party,Petrol,5,63420,First Owner,Manual,2016,18,1198,1198.0,867.0,5.11
1140,Hyundai Grand,18,Third Party,Petrol,5,68888,Second Owner,Manual,2017,18,1197,1197.0,8186.0,4.39
1141,Maruti Swift,13,Comprehensive,Diesel,5,104255,First Owner,Manual,2013,22,1248,1248.0,74.0,4.5
1142,Honda Brio,18,Third Party,Petrol,5,47877,First Owner,Manual,2018,18,1198,1198.0,868.0,4.72
1143,Mercedes-Benz C-Class,16,Comprehensive,Petrol,5,61000,Second Owner,Automatic,2016,14,1991,1991.0,18104.0,27.9
1144,Honda Jazz,16,Third Party insurance,Diesel,5,83337,First Owner,Manual,2016,27,1498,1498.0,986.0,4.64
1145,Honda Brio,16,Third Party,Petrol,5,61836,First Owner,Manual,2016,19,1198,1198.0,868.0,4.06
1146,Volkswagen Vento,15,Comprehensive,Petrol,5,68001,First Owner,Automatic,2015,18,1197,1197.0,1032.0,5.9
1147,Maruti Baleno,23,Zero Dep,Petrol,5,39813,First Owner,Manual,2022,22,1197,1197.0,8850.0,7.87
1148,Honda Amaze,18,Comprehensive,Petrol,5,74000,First Owner,Manual,2018,17,1198,1198.0,867.0,6.9
1149,Honda Brio,13,Comprehensive,Petrol,5,87000,First Owner,Manual,2013,19,1198,1198.0,868.0,3.5
1150,Hyundai i20,16,Third Party insurance,Petrol,5,71000,First Owner,Manual,2016,18,1197,1197.0,8183.0,6.6
1151,Mercedes-Benz GLE,18,Comprehensive,Diesel,5,102000,First Owner,Automatic,2018,17,2143,2143.0,20115.0,43.5
1152,Mitsubishi Outlander,,Third Party insurance,Petrol,5,110000,Third Owner,Automatic,2010,11,2360,2360.0,170.0,6.5
1153,Tata Tiago,19,Comprehensive,Petrol,5,75000,First Owner,Manual,2019,23,1199,1199.0,84.0,5.7
1154,Maruti Ciaz,17,Third Party insurance,Diesel,5,62000,First Owner,Manual,2017,28,1248,1248.0,885.0,7.1
1155,Hyundai i10,14,Third Party insurance,Petrol,5,49000,First Owner,Manual,2014,1197,789,789.0,1117.0,4.4
1156,Maruti Ciaz,17,Comprehensive,Petrol,5,76792,First Owner,Manual,2016,20,1373,1373.0,911.0,6.37
1157,Honda Brio,14,Comprehensive,Petrol,5,34445,First Owner,Manual,2014,19,1198,1198.0,868.0,4.24
1158,Hyundai i10,12,Comprehensive,Petrol,5,64000,First Owner,Manual,2012,1086,6805,6805.0,9904.0,3.2
1159,Maruti Swift,16,Third Party,Petrol,5,109405,First Owner,Manual,2016,22,1197,1197.0,8850.0,5.2
1160,Honda Jazz,15,Comprehensive,Petrol,5,118146,First Owner,Manual,2015,18,1199,1199.0,887.0,4.61
1161,Tata Punch,22,Comprehensive,Petrol,5,9000,First Owner,Automatic,2022,18,1199,1199.0,8663.0,8.75
1162,Hyundai Grand,17,Zero Dep,Petrol,5,41339,Second Owner,Automatic,2017,18,1197,1197.0,8186.0,5.87
1163,BMW 2,22,Comprehensive,Petrol,5,22000,Second Owner,Automatic,2022,14,1998,1998.0,18908.0,33.5
1164,Honda WR-V,18,Comprehensive,Petrol,5,62607,First Owner,Manual,2017,17,1199,1199.0,887.0,7.21
1165,Maruti Baleno,20,Zero Dep,Petrol,5,52794,First Owner,Manual,2020,21,1197,1197.0,8180.0,6.77
1166,Mercedes-Benz E-Class,22,Comprehensive,Petrol,5,10000,First Owner,Automatic,2022,15,1991,1991.0,19444.0,67.5
1167,Renault Triber,22,Third Party,Petrol,7,33864,First Owner,Manual,2022,20,999,999.0,7101.0,5.86
1168,Hyundai Elantra,12,Third Party insurance,Diesel,5,73000,Second Owner,Automatic,2012,19,1582,1582.0,12624.0,4.25
1169,Maruti Baleno,17,Third Party,Petrol,5,70000,First Owner,Manual,2017,21,1197,1197.0,8180.0,4.75
1170,Honda BR-V,17,Comprehensive,Diesel,7,67754,Second Owner,Manual,2017,21,1498,1498.0,986.0,6.15
1171,Maruti Wagon,,Third Party insurance,Petrol,5,60000,998 cc,2011,Power Steering,998,671,671.0,90.0,1.7
1172,Nissan Micra,10,Comprehensive,Petrol,5,69000,First Owner,Manual,2010,18,1198,1198.0,75.0,2.5
1173,Mahindra XUV500,19,Third Party insurance,Diesel,7,78000,First Owner,Manual,2018,15,2179,2179.0,15287.0,10.25
1174,Maruti Alto,,Third Party insurance,Petrol,5,70000,Third Owner,Manual,2009,796,463,463.0,62.0,1.4
